loss,seed,injected,dropped,claimed,rounds,rev_frames,sha,size,transport,harness,payload_sha256,ts,mtu
0,1,1366,0,VERIFIED,1,1,MATCH,262144,zmq,na,a93c3523ca04cfb6d2e630373d357b2d53ae72dc73946c3d5274866ca67b7f79,2026-07-30T07:09:15Z,200
0,2,1366,0,VERIFIED,1,1,MATCH,262144,zmq,na,a93c3523ca04cfb6d2e630373d357b2d53ae72dc73946c3d5274866ca67b7f79,2026-07-30T07:09:41Z,200
0,3,1366,0,VERIFIED,1,1,MATCH,262144,zmq,na,a93c3523ca04cfb6d2e630373d357b2d53ae72dc73946c3d5274866ca67b7f79,2026-07-30T07:10:06Z,200
0.02,1,1423,57,VERIFIED,3,3,MATCH,262144,zmq,na,a93c3523ca04cfb6d2e630373d357b2d53ae72dc73946c3d5274866ca67b7f79,2026-07-30T07:10:36Z,200
0.02,2,1401,35,VERIFIED,3,3,MATCH,262144,zmq,na,a93c3523ca04cfb6d2e630373d357b2d53ae72dc73946c3d5274866ca67b7f79,2026-07-30T07:10:55Z,200
0.02,3,1401,35,VERIFIED,2,2,MATCH,262144,zmq,na,a93c3523ca04cfb6d2e630373d357b2d53ae72dc73946c3d5274866ca67b7f79,2026-07-30T07:11:12Z,200
0.05,1,1455,89,VERIFIED,2,2,MATCH,262144,zmq,na,a93c3523ca04cfb6d2e630373d357b2d53ae72dc73946c3d5274866ca67b7f79,2026-07-30T07:11:40Z,200
0.05,2,1424,58,VERIFIED,3,3,MATCH,262144,zmq,na,a93c3523ca04cfb6d2e630373d357b2d53ae72dc73946c3d5274866ca67b7f79,2026-07-30T07:12:09Z,200
0.05,3,1463,97,VERIFIED,3,3,MATCH,262144,zmq,na,a93c3523ca04cfb6d2e630373d357b2d53ae72dc73946c3d5274866ca67b7f79,2026-07-30T07:12:39Z,200
0.10,1,1518,152,VERIFIED,3,3,MATCH,262144,zmq,na,a93c3523ca04cfb6d2e630373d357b2d53ae72dc73946c3d5274866ca67b7f79,2026-07-30T07:12:58Z,200
0.10,2,1501,135,VERIFIED,3,3,MATCH,262144,zmq,na,a93c3523ca04cfb6d2e630373d357b2d53ae72dc73946c3d5274866ca67b7f79,2026-07-30T07:13:17Z,200
0.10,3,1581,215,VERIFIED,4,4,MATCH,262144,zmq,na,a93c3523ca04cfb6d2e630373d357b2d53ae72dc73946c3d5274866ca67b7f79,2026-07-30T07:13:38Z,200
0.20,1,1769,403,VERIFIED,7,7,MATCH,262144,zmq,na,a93c3523ca04cfb6d2e630373d357b2d53ae72dc73946c3d5274866ca67b7f79,2026-07-30T07:14:16Z,200
0.20,2,1762,396,VERIFIED,6,6,MATCH,262144,zmq,na,a93c3523ca04cfb6d2e630373d357b2d53ae72dc73946c3d5274866ca67b7f79,2026-07-30T07:14:52Z,200
0.20,3,1741,375,VERIFIED,7,7,MATCH,262144,zmq,na,a93c3523ca04cfb6d2e630373d357b2d53ae72dc73946c3d5274866ca67b7f79,2026-07-30T07:15:29Z,200
0.30,1,1939,573,VERIFIED,8,8,MATCH,262144,zmq,na,a93c3523ca04cfb6d2e630373d357b2d53ae72dc73946c3d5274866ca67b7f79,2026-07-30T07:16:09Z,200
0.30,2,2047,681,VERIFIED,11,11,MATCH,262144,zmq,na,a93c3523ca04cfb6d2e630373d357b2d53ae72dc73946c3d5274866ca67b7f79,2026-07-30T07:16:44Z,200
0.30,3,2053,687,VERIFIED,9,9,MATCH,262144,zmq,na,a93c3523ca04cfb6d2e630373d357b2d53ae72dc73946c3d5274866ca67b7f79,2026-07-30T07:17:26Z,200
